SPEC,COMMONNAME,SCINAME,SPEC6,CONF6,CONF,SP,Sort Order,Order,Family,Subfamily
HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON,,,,1,Tinamiformes,Tinamidae,
GRTI,Great Tinamou,Tinamus major,TINMAJ,,,,2,Tinamiformes,Tinamidae,
LITI,Little Tinamou,Crypturellus soui,CRYSOU,,,,3,Tinamiformes,Tinamidae,
THTI,Thicket Tinamou,Crypturellus cinnamomeus,CRYCIN,,,,4,Tinamiformes,Tinamidae,
SBTI,Slaty-breasted Tinamou,Crypturellus boucardi,CRYBOU,,,,5,Tinamiformes,Tinamidae,
CHTI,Choco Tinamou,Crypturellus kerriae,CRYKER,,,,6,Tinamiformes,Tinamidae,
WFWD,White-faced Whistling-Duck,Dendrocygna viduata,DENVID,,,,7,Anseriformes,Anatidae,Dendrocygninae
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT,,,,8,Anseriformes,Anatidae,Dendrocygninae
WIWD,West Indian Whistling-Duck,Dendrocygna arborea,DENARB,,,,9,Anseriformes,Anatidae,Dendrocygninae
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC,,,,10,Anseriformes,Anatidae,Dendrocygninae
TABG,Taiga Bean-Goose,Anser fabalis,ANSFAB,,,,11,Anseriformes,Anatidae,Anserinae
TUBG,Tundra Bean-Goose,Anser serrirostris,ANSSER,,,,12,Anseriformes,Anatidae,Anserinae
PFGO,Pink-footed Goose,Anser brachyrhynchus,ANSBRA,,,,13,Anseriformes,Anatidae,Anserinae
GWFG,Greater White-fronted Goose,Anser albifrons,ANSALB,,,,14,Anseriformes,Anatidae,Anserinae
LWFG,Lesser White-fronted Goose,Anser erythropus,ANSERY,,,,15,Anseriformes,Anatidae,Anserinae
GRGO,Graylag Goose,Anser anser,ANSANS,,,,16,Anseriformes,Anatidae,Anserinae
EMGO,Emperor Goose,Chen canagica,CHECAN,,,,17,Anseriformes,Anatidae,Anserinae
SNGO,Snow Goose,Chen caerulescens,CHECAE,,,,18,Anseriformes,Anatidae,Anserinae
LSGW,Lesser Snow Goose White-morph,Chen c. caerulescens,CHECCA,,,+,19,Anseriformes,Anatidae,Anserinae
LSGI,Lesser Snow Goose Intermediate-morph,Chen c. caerulescens,CHECCA,,,+,20,Anseriformes,Anatidae,Anserinae
LSGB,Lesser Snow Goose Blue-morph,Chen c. caerulescens,CHECCA,,,+,21,Anseriformes,Anatidae,Anserinae
GSGW,Greater Snow Goose White-morph,Chen c. atlantica,CHECAT,,,+,22,Anseriformes,Anatidae,Anserinae
GSGI,Greater Snow Goose Intermediate-morph,Chen c. atlantica,CHECAT,,,+,23,Anseriformes,Anatidae,Anserinae
GSGB,Greater Snow Goose Blue-morph,Chen c. atlantica,CHECAT,,,+,24,Anseriformes,Anatidae,Anserinae
SRGH,Snow X Ross's Goose Hybrid,Chen caerul. x rossii,CHECAR,,,+,25,Anseriformes,Anatidae,Anserinae
ROGO,Ross's Goose,Chen rossii,CHEROS,,,,26,Anseriformes,Anatidae,Anserinae
BRAN,Brant,Branta bernicla,BRABER,,,,27,Anseriformes,Anatidae,Anserinae
ATBR,Atlantic Brant,Branta b. bernicla,BRABBE,,,+,28,Anseriformes,Anatidae,Anserinae
BRIN,Brant Intergrade,Branta b. bern. x nigri.,BRABBN,,,+,29,Anseriformes,Anatidae,Anserinae
BLBR,Black Brant,Branta b. nigricans,BRABNI,,,+,30,Anseriformes,Anatidae,Anserinae
BARG,Barnacle Goose,Branta leucopsis,BRALEU,,*,,31,Anseriformes,Anatidae,Anserinae
CACG,Cackling Goose,Branta hutchinsii,BRAHUT,,*,,32,Anseriformes,Anatidae,Anserinae
ACGO,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE,,,+,33,Anseriformes,Anatidae,Anserinae
MCGO,Minima Cackling Goose,Branta h. minima,BRAHMI,,,+,34,Anseriformes,Anatidae,Anserinae
CANG,Canada Goose,Branta canadensis,BRACAN,,*,,35,Anseriformes,Anatidae,Anserinae
LCGO,Large Canada Goose,Branta c. moffitti,BRACMO,,,+,36,Anseriformes,Anatidae,Anserinae
SCGO,Small Canada Goose,Branta c. parvipes,BRACPA,,,+,37,Anseriformes,Anatidae,Anserinae
HAGO,Hawaiian Goose,Branta sandvicensis,BRASAN,,,,38,Anseriformes,Anatidae,Anserinae
MUSW,Mute Swan,Cygnus olor,CYGOLO,,,,39,Anseriformes,Anatidae,Anserinae
TRUS,Trumpeter Swan,Cygnus buccinator,CYGBUC,,*,,40,Anseriformes,Anatidae,Anserinae
TUSW,Tundra Swan,Cygnus columbianus,CYGCOL,,,,41,Anseriformes,Anatidae,Anserinae
WHSW,Whistling Swan,Cygnus c. columbianus,CYGCCO,,,+,42,Anseriformes,Anatidae,Anserinae
BESW,Bewick's Swan,Cygnus c. bewickii,CYGCBE,,,+,43,Anseriformes,Anatidae,Anserinae
WHOS,Whooper Swan,Cygnus cygnus,CYGCYG,,*,,44,Anseriformes,Anatidae,Anserinae
CODU,Comb Duck,Sarkidiornis melanotos,SARMEL,,,,45,Anseriformes,Anatidae,Tadorninae
ORGO,Orinoco Goose,Neochen jubata,NEOJUB,,,,46,Anseriformes,Anatidae,Tadorninae
MUDU,Muscovy Duck,Cairina moschata,CAIMOS,,,,47,Anseriformes,Anatidae,Anatinae
WODU,Wood Duck,Aix sponsa,AIXSPO,,,,48,Anseriformes,Anatidae,Anatinae
GADW,Gadwall,Anas strepera,ANASTR,,,,49,Anseriformes,Anatidae,Anatinae
FADU,Falcated Duck,Anas falcata,ANAFAL,,,,50,Anseriformes,Anatidae,Anatinae
EUWI,Eurasian Wigeon,Anas penelope,ANAPEN,,,,51,Anseriformes,Anatidae,Anatinae
AMWI,American Wigeon,Anas americana,ANAAME,,,,52,Anseriformes,Anatidae,Anatinae
ABDU,American Black Duck,Anas rubripes,ANARUB,,,,53,Anseriformes,Anatidae,Anatinae
ABDH,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,,,+,54,Anseriformes,Anatidae,Anatinae
MALL,Mallard,Anas platyrhynchos,ANAPLA,,,,55,Anseriformes,Anatidae,Anatinae
MEDU,Mexican Duck,Anas p. diazi,ANAPDI,,,+,56,Anseriformes,Anatidae,Anatinae
MODU,Mottled Duck,Anas fulvigula,ANAFUL,,,,57,Anseriformes,Anatidae,Anatinae
HAWD,Hawaiian Duck,Anas wyvilliana,ANAWYV,,*,,58,Anseriformes,Anatidae,Anatinae
LAYD,Laysan Duck,Anas laysanensis,ANALAY,,*,,59,Anseriformes,Anatidae,Anatinae
ESBD,Eastern Spot-billed Duck,Anas zonorhyncha,ANAZON,,,,60,Anseriformes,Anatidae,Anatinae
BWTE,Blue-winged Teal,Anas discors,ANADIS,,,,61,Anseriformes,Anatidae,Anatinae
CITE,Cinnamon Teal,Anas cyanoptera,ANACYA,,,,62,Anseriformes,Anatidae,Anatinae
UNTE,Unidentified Teal,Anas (sp),ANASPE,,,+,63,Anseriformes,Anatidae,Anatinae
NSHO,Northern Shoveler,Anas clypeata,ANACLY,,*,,64,Anseriformes,Anatidae,Anatinae
WCHP,White-cheeked Pintail,Anas bahamensis,ANABAH,,*,,65,Anseriformes,Anatidae,Anatinae
NOPI,Northern Pintail,Anas acuta,ANAACU,,,,66,Anseriformes,Anatidae,Anatinae
GARG,Garganey,Anas querquedula,ANAQUE,,,,67,Anseriformes,Anatidae,Anatinae
BATE,Baikal Teal,Anas formosa,ANAFOR,,,,68,Anseriformes,Anatidae,Anatinae
GWTE,Green-winged Teal,Anas crecca,ANACRE,,,,69,Anseriformes,Anatidae,Anatinae
AGWT,American Green-winged Teal,Anas c. carolinensis,ANACCA,,,+,70,Anseriformes,Anatidae,Anatinae
EGWT,Eurasian Green-winged Teal,Anas c. crecca,ANACCR,,,+,71,Anseriformes,Anatidae,Anatinae
CANV,Canvasback,Aythya valisineria,AYTVAL,,,,72,Anseriformes,Anatidae,Anatinae
REDH,Redhead,Aythya americana,AYTAME,,,,73,Anseriformes,Anatidae,Anatinae
COMP,Common Pochard,Aythya ferina,AYTFER,,*,,74,Anseriformes,Anatidae,Anatinae
RNDU,Ring-necked Duck,Aythya collaris,AYTCOL,,,,75,Anseriformes,Anatidae,Anatinae
TUDU,Tufted Duck,Aythya fuligula,AYTFUL,,,,76,Anseriformes,Anatidae,Anatinae
GRSC,Greater Scaup,Aythya marila,AYTMAR,,,,77,Anseriformes,Anatidae,Anatinae
LESC,Lesser Scaup,Aythya affinis,AYTAFF,,,,78,Anseriformes,Anatidae,Anatinae
STEI,Steller's Eider,Polysticta stelleri,POLSTE,,,,79,Anseriformes,Anatidae,Anatinae
SPEI,Spectacled Eider,Somateria fischeri,SOMFIS,,,,80,Anseriformes,Anatidae,Anatinae
KIEI,King Eider,Somateria spectabilis,SOMSPE,,,,81,Anseriformes,Anatidae,Anatinae
COEI,Common Eider,Somateria mollissima,SOMMOL,,,,82,Anseriformes,Anatidae,Anatinae
HADU,Harlequin Duck,Histrionicus histrionicus,HISHIS,,,,83,Anseriformes,Anatidae,Anatinae
LABD,Labrador Duck,Camptorhynchus labradorius,CAMLAB,,*,,84,Anseriformes,Anatidae,Anatinae
SUSC,Surf Scoter,Melanitta perspicillata,MELPER,,,,85,Anseriformes,Anatidae,Anatinae
WWSC,White-winged Scoter,Melanitta fusca,MENFUS,*,,,86,Anseriformes,Anatidae,Anatinae
BLSC,Black Scoter,Melanitta americana,MELAME,,,,87,Anseriformes,Anatidae,Anatinae
LTDU,Long-tailed Duck,Clangula hyemalis,CLAHYE,,,,88,Anseriformes,Anatidae,Anatinae
BUFF,Bufflehead,Bucephala albeola,BUCALB,,,,89,Anseriformes,Anatidae,Anatinae
COGO,Common Goldeneye,Bucephala clangula,BUCCLA,,,,90,Anseriformes,Anatidae,Anatinae
BAGO,Barrow's Goldeneye,Bucephala islandica,BUCISL,,,,91,Anseriformes,Anatidae,Anatinae
SMEW,Smew,Mergellus albellus,MERALB,,,,92,Anseriformes,Anatidae,Anatinae
HOME,Hooded Merganser,Lophodytes cucullatus,LOPCUC,,,,93,Anseriformes,Anatidae,Anatinae
COME,Common Merganser,Mergus merganser,MERMER,,,,94,Anseriformes,Anatidae,Anatinae
RBME,Red-breasted Merganser,Mergus serrator,MERSER,,,,95,Anseriformes,Anatidae,Anatinae
MADU,Masked Duck,Nomonyx dominicus,NOMDOM,,,,96,Anseriformes,Anatidae,Anatinae
RUDU,Ruddy Duck,Oxyura jamaicensis,OXYJAM,,,,97,Anseriformes,Anatidae,Anatinae
UNDU,Unidentified Duck,"Anatinae (gen, sp)",ANAGSP,,,+,98,Anseriformes,Anatidae,
PLCH,Plain Chachalaca,Ortalis vetula,ORTVET,,,,99,Galliformes,Cracidae,
GHEC,Gray-headed Chachalaca,Ortalis cinereiceps,ORTCIN,,*,,100,Galliformes,Cracidae,
RVCH,Rufous-vented Chachalaca,Ortalis ruficauda,ORTRUF,,,,101,Galliformes,Cracidae,
RBEC,Rufous-bellied Chachalaca,Ortalis wagleri,ORTWAG,,*,,102,Galliformes,Cracidae,
WMCH,West Mexican Chachalaca,Ortalis poliocephala,ORTPOL,,,,103,Galliformes,Cracidae,
WBCH,White-bellied Chachalaca,Ortalis leucogastra,ORTLEU,,,,104,Galliformes,Cracidae,
CRGU,Crested Guan,Penelope purpurascens,PENPUR,,,,105,Galliformes,Cracidae,
BLAG,Black Guan,Chamaepetes unicolor,CHAUNI,,*,,106,Galliformes,Cracidae,
HIGU,Highland Guan,Penelopina nigra,PENNIG,,,,107,Galliformes,Cracidae,
HOGU,Horned Guan,Oreophasis derbianus,OREDER,,,,108,Galliformes,Cracidae,
GRCU,Great Curassow,Crax rubra,CRARUB,,,,109,Galliformes,Cracidae,
HELG,Helmeted Guineafowl,Numida meleagris,NUMMEL,,*,,110,Galliformes,Numididae,
BEWP,Bearded Wood-Partridge,Dendrortyx barbatus,DENBAR,,,,111,Galliformes,Odontophoridae,
LTWP,Long-tailed Wood-Partridge,Dendrortyx macroura,DENMAC,,,,112,Galliformes,Odontophoridae,
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,DENLEU,,,,113,Galliformes,Odontophoridae,
MOUQ,Mountain Quail,Oreortyx pictus,OREPIC,,*,,114,Galliformes,Odontophoridae,
SCQU,Scaled Quail,Callipepla squamata,CALSQU,,,,115,Galliformes,Odontophoridae,
ELQU,Elegant Quail,Callipepla douglasii,CALDOU,,,,116,Galliformes,Odontophoridae,
CAQU,California Quail,Callipepla californica,CALCAL,,,,117,Galliformes,Odontophoridae,
GAQU,Gambel's Quail,Callipepla gambelii,CALGAM,,,,118,Galliformes,Odontophoridae,
BAQU,Banded Quail,Philortyx fasciatus,PHIFAS,,,,119,Galliformes,Odontophoridae,
NOBO,Northern Bobwhite,Colinus virginianus,COLVIR,,,,120,Galliformes,Odontophoridae,
BTBO,Black-throated Bobwhite,Colinus nigrogularis,COLNIG,,,,121,Galliformes,Odontophoridae,
CRBO,Crested Bobwhite,Colinus cristatus,COLCRI,,,,122,Galliformes,Odontophoridae,
MAWQ,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,,,,123,Galliformes,Odontophoridae,
BEWQ,Black-eared Wood-Quail,Odontophorus melanotis,ODOMEL,,,,124,Galliformes,Odontophoridae,
TAWQ,Tacarcuna Wood-Quail,Odontophorus dialeucos,ODODIA,,,,125,Galliformes,Odontophoridae,
BBWQ,Black-breasted Wood-Quail,Odontophorus leucolaemus,ODOLEU,,,,126,Galliformes,Odontophoridae,
SPWQ,Spotted Wood-Quail,Odontophorus guttatus,ODOGUT,,,,127,Galliformes,Odontophoridae,
SIQU,Singing Quail,Dactylortyx thoracicus,DACTHO,,,,128,Galliformes,Odontophoridae,
MONQ,Montezuma Quail,Cyrtonyx montezumae,CYRMON,,*,,129,Galliformes,Odontophoridae,
OCQU,Ocellated Quail,Cyrtonyx ocellatus,CYROCE,,,,130,Galliformes,Odontophoridae,
TFQU,Tawny-faced Quail,Rhynchortyx cinctus,RHYCIN,,,,131,Galliformes,Odontophoridae,
CHUK,Chukar,Alectoris chukar,ALECHU,,,,132,Galliformes,Phasianidae,Phasianinae
GRAF,Gray Francolin,Francolinus pondicerianus,FRAPON,,*,,133,Galliformes,Phasianidae,Phasianinae
BLFR,Black Francolin,Francolinus francolinus,FRAFRA,,,,134,Galliformes,Phasianidae,Phasianinae
ERFR,Erckel's Francolin,Francolinus erckelii,FRAERC,,,,135,Galliformes,Phasianidae,Phasianinae
HISN,Himalayan Snowcock,Tetraogallus himalayensis,TETHIM,,,,136,Galliformes,Phasianidae,Phasianinae
GRAP,Gray Partridge,Perdix perdix,PERPER,,*,,137,Galliformes,Phasianidae,Phasianinae
JAQU,Japanese Quail,Coturnix japonica,COTJAP,,,,138,Galliformes,Phasianidae,Phasianinae
REJU,Red Junglefowl,Gallus gallus,GALGAS,*,,,139,Galliformes,Phasianidae,Phasianinae
KAPH,Kalij Pheasant,Lophura leucomelanos,LOPLEU,,,,140,Galliformes,Phasianidae,Phasianinae
RNEP,Ring-necked Pheasant,Phasianus colchicus,PHACOL,,*,,141,Galliformes,Phasianidae,Phasianinae
INPE,Indian Peafowl,Pavo cristatus,PAVCRI,,,,142,Galliformes,Phasianidae,Phasianinae
RUGR,Ruffed Grouse,Bonasa umbellus,BONUMB,,,,143,Galliformes,Phasianidae,Tetraoninae
GRSG,Greater Sage-Grouse,Centrocercus urophasianus,CENURO,,,,144,Galliformes,Phasianidae,Tetraoninae
GUSG,Gunnison Sage-Grouse,Centrocercus minimus,CENMIN,,,,145,Galliformes,Phasianidae,Tetraoninae
SPGR,Spruce Grouse,Falcipennis canadensis,FALCAN,,,,146,Galliformes,Phasianidae,Tetraoninae
WIPT,Willow Ptarmigan,Lagopus lagopus,LAGLAG,,,,147,Galliformes,Phasianidae,Tetraoninae
ROPT,Rock Ptarmigan,Lagopus muta,LAGMUT,,,,148,Galliformes,Phasianidae,Tetraoninae
WTPT,White-tailed Ptarmigan,Lagopus leucura,LAGLEU,,,,149,Galliformes,Phasianidae,Tetraoninae
DUGR,Dusky Grouse,Dendragapus obscurus,DENOBS,,,,150,Galliformes,Phasianidae,Tetraoninae
SOGR,Sooty Grouse,Dendragapus fuliginosus,DEGFUL,*,,,151,Galliformes,Phasianidae,Tetraoninae
STGR,Sharp-tailed Grouse,Tympanuchus phasianellus,TYMPHA,,,,152,Galliformes,Phasianidae,Tetraoninae
GRPC,Greater Prairie-Chicken,Tympanuchus cupido,TYMCUP,,,,153,Galliformes,Phasianidae,Tetraoninae
LEPC,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,TYMPAL,,,,154,Galliformes,Phasianidae,Tetraoninae
WITU,Wild Turkey,Meleagris gallopavo,MELGAL,,,,155,Galliformes,Phasianidae,Meleagridinae
OCTU,Ocellated Turkey,Meleagris ocellata,MELOCE,,,,156,Galliformes,Phasianidae,Meleagridinae
RTLO,Red-throated Loon,Gavia stellata,GAVSTE,,,,157,Gaviiformes,Gaviidae,
ARLO,Arctic Loon,Gavia arctica,GAVARC,,,,158,Gaviiformes,Gaviidae,
PALO,Pacific Loon,Gavia pacifica,GAVPAC,,,,159,Gaviiformes,Gaviidae,
COLO,Common Loon,Gavia immer,GAVIMM,,,,160,Gaviiformes,Gaviidae,
YBLO,Yellow-billed Loon,Gavia adamsii,GAVADA,,,,161,Gaviiformes,Gaviidae,
LEGR,Least Grebe,Tachybaptus dominicus,TACDOM,,,,162,Podicipediformes,Podicipedidae,
PBGR,Pied-billed Grebe,Podilymbus podiceps,PODPOD,,,,163,Podicipediformes,Podicipedidae,
ATGR,Atitlan Grebe,Podilymbus gigas,PODGIG,,,,164,Podicipediformes,Podicipedidae,
HOGR,Horned Grebe,Podiceps auritus,PODAUR,,,,165,Podicipediformes,Podicipedidae,
RNGR,Red-necked Grebe,Podiceps grisegena,PODGRI,,,,166,Podicipediformes,Podicipedidae,
EAGR,Eared Grebe,Podiceps nigricollis,PODNIG,,,,167,Podicipediformes,Podicipedidae,
WEGR,Western Grebe,Aechmophorus occidentalis,AECOCC,,,,168,Podicipediformes,Podicipedidae,
CLGR,Clark's Grebe,Aechmophorus clarkii,AECCLA,,,,169,Podicipediformes,Podicipedidae,
AMFL,American Flamingo,Phoenicopterus ruber,PHORUB,,,,170,Phoenicopteriformes,Phoenicopteridae,
YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,THACHL,,,,171,Procellariiformes,Diomedeidae,
SHAL,Shy Albatross,Thalassarche cauta,THACAU,,,,172,Procellariiformes,Diomedeidae,
BBAL,Black-browed Albatross,Thalassarche melanophris,THAMEL,,,,173,Procellariiformes,Diomedeidae,
LMAL,Light-mantled Albatross,Phoebetria palpebrata,PHOPAL,,,,174,Procellariiformes,Diomedeidae,
WAAL,Wandering Albatross,Diomedea exulans,DIOEXU,,,,175,Procellariiformes,Diomedeidae,
LAAL,Laysan Albatross,Phoebastria immutabilis,PHOIMM,,,,176,Procellariiformes,Diomedeidae,
LBFH,Laysan X Black-foot. Albatross Hybrid,Phoebastria immut. X nigripes,PHOIMN,,,+,177,Procellariiformes,Diomedeidae,
BFAL,Black-footed Albatross,Phoebastria nigripes,PHONIG,,,,178,Procellariiformes,Diomedeidae,
STAL,Short-tailed Albatross,Phoebastria albatrus,PHOALB,,,,179,Procellariiformes,Diomedeidae,
NOFU,Northern Fulmar,Fulmarus glacialis,FULGLA,,,,180,Procellariiformes,Procellariidae,
GWPE,Great-winged Petrel,Pterodroma macroptera,PTEMAC,,,,181,Procellariiformes,Procellariidae,
KEPE,Kermadec Petrel,Pterodroma neglecta,PTENEG,,,,182,Procellariiformes,Procellariidae,
HEPE,Herald Petrel,Pterodroma arminjoniana,PTEARM,,,,183,Procellariiformes,Procellariidae,
MUPE,Murphy's Petrel,Pterodroma ultima,PTEULT,,,,184,Procellariiformes,Procellariidae,
MOPE,Mottled Petrel,Pterodroma inexpectata,PTEINE,,,,185,Procellariiformes,Procellariidae,
BEPE,Bermuda Petrel,Pterodroma cahow,PTECAH,,,,186,Procellariiformes,Procellariidae,
BCPE,Black-capped Petrel,Pterodroma hasitata,PTEHAS,,,,187,Procellariiformes,Procellariidae,
JFPE,Juan Fernandez Petrel,Pterodroma externa,PTEEXT,,,,188,Procellariiformes,Procellariidae,
GAPE,Galapagos Petrel,Pterodroma phaeopygia,PTEPHA,,,,189,Procellariiformes,Procellariidae,
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,PTESAN,,,,190,Procellariiformes,Procellariidae,
WNPE,White-necked Petrel,Pterodroma cervicalis,PTECER,,,,191,Procellariiformes,Procellariidae,
BOPE,Bonin Petrel,Pterodroma hypoleuca,PTEHYP,,,,192,Procellariiformes,Procellariidae,
BWPE,Black-winged Petrel,Pterodroma nigripennis,PTENIG,,,,193,Procellariiformes,Procellariidae,
COPE,Cook's Petrel,Pterodroma cookii,PTECOO,,,,194,Procellariiformes,Procellariidae,
STPE,Stejneger's Petrel,Pterodroma longirostris,PTELON,,,,195,Procellariiformes,Procellariidae,
TAPE,Tahiti Petrel,Pterodroma rostrata,PTEROS,,,,196,Procellariiformes,Procellariidae,
BUPE,Bulwer's Petrel,Bulweria bulwerii,BULBUL,,,,197,Procellariiformes,Procellariidae,
JOPE,Jouanin's Petrel,Bulweria fallax,BULFAL,,,,198,Procellariiformes,Procellariidae,
WCPE,White-chinned Petrel,Procellaria aequinoctialis,PROAEQ,,,,199,Procellariiformes,Procellariidae,
PAPE,Parkinson's Petrel,Procellaria parkinsoni,PROPAR,,,,200,Procellariiformes,Procellariidae,
STRS,Streaked Shearwater,Calonectris leucomelas,CALLEU,,*,,201,Procellariiformes,Procellariidae,
COSH,Cory's Shearwater,Calonectris diomedea,CALDIO,,,,202,Procellariiformes,Procellariidae,
CVSH,Cape Verde Shearwater,Calonectris edwardsii,CALEDW,,,,203,Procellariiformes,Procellariidae,
PFSH,Pink-footed Shearwater,Puffinus creatopus,PUFCRE,,,,204,Procellariiformes,Procellariidae,
FFSH,Flesh-footed Shearwater,Puffinus carneipes,PUFCAR,,,,205,Procellariiformes,Procellariidae,
GRSH,Great Shearwater,Puffinus gravis,PUFGRA,,,,206,Procellariiformes,Procellariidae,
WTSH,Wedge-tailed Shearwater,Puffinus pacificus,PUFPAC,,,,207,Procellariiformes,Procellariidae,
BULS,Buller's Shearwater,Puffinus bulleri,PUFBUL,,*,,208,Procellariiformes,Procellariidae,
SOSH,Sooty Shearwater,Puffinus griseus,PUFGRI,,,,209,Procellariiformes,Procellariidae,
SRTS,Short-tailed Shearwater,Puffinus tenuirostris,PUFTEN,,*,,210,Procellariiformes,Procellariidae,
CHSH,Christmas Shearwater,Puffinus nativitatis,PUFNAT,,,,211,Procellariiformes,Procellariidae,
GASH,Galapagos Shearwater,Puffinus subalaris,PUFSUB,,,,212,Procellariiformes,Procellariidae,
MASH,Manx Shearwater,Puffinus puffinus,PUFPUF,,,,213,Procellariiformes,Procellariidae,
TOSH,Townsend's Shearwater,Puffinus auricularis,PUFAUR,,,,214,Procellariiformes,Procellariidae,
NESH,Newell's Shearwater,Puffinus a. newelli,PUFANE,,,+,215,Procellariiformes,Procellariidae,
BRYS,Bryan's Shearwater,Puffinus bryani,PUFBRY,,*,,216,Procellariiformes,Procellariidae,
BVSH,Black-vented Shearwater,Puffinus opisthomelas,PUFOPI,,,,217,Procellariiformes,Procellariidae,
AUSH,Audubon's Shearwater,Puffinus lherminieri,PUFLHE,,,,218,Procellariiformes,Procellariidae,
LISH,Little Shearwater,Puffinus assimilis,PUFASS,,,,219,Procellariiformes,Procellariidae,
WISP,Wilson's Storm-Petrel,Oceanites oceanicus,OCEOCE,,,,220,Procellariiformes,Hydrobatidae,
WFSP,White-faced Storm-Petrel,Pelagodroma marina,PELMAR,,,,221,Procellariiformes,Hydrobatidae,
EUSP,European Storm-Petrel,Hydrobates pelagicus,HYDPEL,,,,222,Procellariiformes,Hydrobatidae,
BBSP,Black-bellied Storm-Petrel,Fregetta tropica,FRETRO,,,,223,Procellariiformes,Hydrobatidae,
FTSP,Fork-tailed Storm-Petrel,Oceanodroma furcata,OCEFUR,,,,224,Procellariiformes,Hydrobatidae,
RISP,Ringed Storm-Petrel,Oceanodroma hornbyi,OCEHOR,,,,225,Procellariiformes,Hydrobatidae,
SSTP,Swinhoe's Storm-Petrel,Oceanodroma monorhis,OCEMON,,,,226,Procellariiformes,Hydrobatidae,
LESP,Leach's Storm-Petrel,Oceanodroma leucorhoa,OCELEU,,,,227,Procellariiformes,Hydrobatidae,
ASSP,Ashy Storm-Petrel,Oceanodroma homochroa,OCEHOM,,,,228,Procellariiformes,Hydrobatidae,
BSTP,Band-rumped Storm-Petrel,Oceanodroma castro,OCECAS,,*,,229,Procellariiformes,Hydrobatidae,
WRSP,Wedge-rumped Storm-Petrel,Oceanodroma tethys,OCETET,,,,230,Procellariiformes,Hydrobatidae,
BLSP,Black Storm-Petrel,Oceanodroma melania,OCEMEL,,,,231,Procellariiformes,Hydrobatidae,
GUSP,Guadalupe Storm-Petrel,Oceanodroma macrodactyla,OCEMAC,,,,232,Procellariiformes,Hydrobatidae,
MASP,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,,,,233,Procellariiformes,Hydrobatidae,
TRSP,Tristram's Storm-Petrel,Oceanodroma tristrami,OCETRI,,,,234,Procellariiformes,Hydrobatidae,
LSTP,Least Storm-Petrel,Oceanodroma microsoma,OCEMIC,,*,,235,Procellariiformes,Hydrobatidae,
WTTR,White-tailed Tropicbird,Phaethon lepturus,PHALEP,,,,236,Phaethontiformes,Phaethontidae,
RBTR,Red-billed Tropicbird,Phaethon aethereus,PHAAET,,,,237,Phaethontiformes,Phaethontidae,
RTTR,Red-tailed Tropicbird,Phaethon rubricauda,PHARUB,,,,238,Phaethontiformes,Phaethontidae,
JABI,Jabiru,Jabiru mycteria,JABMYC,,,,239,Ciconiiformes,Ciconiidae,
WOST,Wood Stork,Mycteria americana,MYCAME,,,,240,Ciconiiformes,Ciconiidae,
MAFR,Magnificent Frigatebird,Fregata magnificens,FREMAG,,,,241,Suliformes,Fregatidae,
GREF,Great Frigatebird,Fregata minor,FREMIN,,*,,242,Suliformes,Fregatidae,
LEFR,Lesser Frigatebird,Fregata ariel,FREARI,,,,243,Suliformes,Fregatidae,
MABO,Masked Booby,Sula dactylatra,SULDAC,,,,244,Suliformes,Sulidae,
NABO,Nazca Booby,Sula granti,SULGRA,,,,245,Suliformes,Sulidae,
BFBO,Blue-footed Booby,Sula nebouxii,SULNEB,,,,246,Suliformes,Sulidae,
PEBO,Peruvian Booby,Sula variegata,SULVAR,,,,247,Suliformes,Sulidae,
BRBO,Brown Booby,Sula leucogaster,SULLEU,,,,248,Suliformes,Sulidae,
RFBO,Red-footed Booby,Sula sula,SULSUL,,,,249,Suliformes,Sulidae,
NOGA,Northern Gannet,Morus bassanus,MORBAS,,,,250,Suliformes,Sulidae,
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,PHAPEN,,*,,251,Suliformes,Phalacrocoracidae,
NECO,Neotropic Cormorant,Phalacrocorax brasilianus,PHABRA,,,,252,Suliformes,Phalacrocoracidae,
DCCO,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*,,,253,Suliformes,Phalacrocoracidae,
GRCO,Great Cormorant,Phalacrocorax carbo,PHACAR,,,,254,Suliformes,Phalacrocoracidae,
RFCO,Red-faced Cormorant,Phalacrocorax urile,PHAURI,,,,255,Suliformes,Phalacrocoracidae,
PECO,Pelagic Cormorant,Phalacrocorax pelagicus,PHAPEL,,,,256,Suliformes,Phalacrocoracidae,
ANHI,Anhinga,Anhinga anhinga,ANHANH,,,,257,Suliformes,Anhingidae,
